Player,Team,Pos,RkOv,FPts,PPG,Ros%,G1 Start,ADP,Big 3 ADP,Starts,% Starts,% SiS,PPS,Median PPS,Median - Mean,PP90,xPP90,xPP90 Δ,gPPS,gPPS Form,23/24 gPPS,gPP90,Ceiling,Floor,GACS%,Mins,Total SP,SPP90,SP%,SP Reliance%,Prev SP,Prev FPts,Prev gPts,ProjFPts,ProjGPts,ProjMins,ProjGS,Big 3 Ros%,ROS Rank,+/-,WARPS,WAR,Last Updated
Martin Odegaard,ARS,M,82,271.75,9.37,100,checked,9.00,9.00,26,68,87,10.4,9.4,-1.0,11.0,10.8,0.2,7.4,8.8,,7.8,16.4,4.4,32,2313,61,2.4,28,17,0,,,13.1,8.8,87,1,100,14,15,0.03,0.88,6/27/2025 12:40pm
Christian Norgaard,BRF,M,83,271.00,8.21,70,checked,236.20,172.00,34,89,100,8.5,7.3,-1.2,9.2,8.5,0.7,6.8,7.4,,7.4,14.3,2.7,28,2818,0,0.0,0,0,0,,11.00,7.3,6.0,82,1,89,200,0,0.01,0.50,6/27/2025 12:40pm
Lewis Hall,NEW,D,84,267.75,9.92,33,,130.30,112.50,24,63,89,10.7,8.6,-2.1,11.0,10.6,0.4,9.4,,,9.8,19.7,1.8,36,2184,75,3.1,40,21,0,,,,,,,3,200,0,0.04,0.94,6/27/2025 12:40pm
Marc Cucurella,CHE,D,85,266.75,7.62,87,checked,108.70,128.00,33,87,92,8.2,6.8,-1.5,8.4,7.8,0.6,7.6,8.7,,7.8,15.5,1.0,42,2981,2,0.1,1,0,0,,5.25,6.2,5.0,87,1,89,200,0,0.01,0.48,6/27/2025 12:40pm
Gabriel Magalhaes,ARS,D,86,266.25,9.51,48,,63.00,82.50,28,74,100,9.5,9.3,-0.3,10.1,9.6,0.5,7.6,,,8.1,15.5,3.6,39,2363,0,0.0,0,0,0,,,,,,,7,200,0,0.03,0.76,6/27/2025 12:40pm
Lucas Digne,AVL,D,87,265.00,8.28,73,checked,144.40,175.00,28,74,74,8.5,7.3,-1.2,10.2,10.5,-0.3,9.0,,,10.5,14.1,2.8,27,2343,73,2.8,35,10,0,,,7.8,6.8,81,1,85,70,25,0.02,0.47,6/27/2025 12:40pm
Jeremy Doku,MCI,M,88,264.50,9.45,94,checked,30.80,26.00,16,42,48,13.1,12.0,-1.1,16.1,14.8,1.4,9.7,,,12.0,20.8,5.3,27,1491,2,0.1,1,0,0,,1.50,11.5,9.0,78,1,100,49,-18,0.06,0.98,6/27/2025 12:40pm
Yankuba Minteh,BHA,F,89,264.50,8.53,84,checked,120.70,80.50,20,53,61,11.8,10.3,-1.6,13.6,12.8,0.9,8.5,5.8,,10.1,20.0,3.7,31,1815,25,1.2,17,9,0,,10.50,12.0,8.6,76,1,100,35,0,0.03,0.69,6/27/2025 12:40pm
Francisco Evanilson de Lima Barbosa,BOU,F,90,264.25,8.81,75,checked,300.00,300.00,28,74,88,9.0,7.0,-2.0,10.4,11.0,-0.6,5.2,4.2,,5.9,16.6,1.5,45,2311,1,0.0,1,1,0,,3.00,14.3,6.7,79,1,100,18,4,0.01,0.29,6/27/2025 12:40pm
Liam Delap,IPS,F,91,263.00,7.31,72,checked,288.70,161.50,32,84,86,7.7,5.3,-2.5,9.1,8.2,0.9,4.8,3.7,,5.6,15.4,0.0,46,2578,2,0.1,1,8,0,,,9.5,5.4,79,1,100,52,2,0.00,-0.03,6/27/2025 12:40pm
Bernd Leno,FUL,G,92,263.00,7.11,61,checked,300.00,300.00,38,100,100,7.1,6.8,-0.3,7.1,6.9,0.2,8.6,9.3,,8.6,12.4,1.8,20,3420,0,0.0,0,0,0,,10.00,7.7,7.7,90,1,82,200,0,0.00,0.03,6/27/2025 12:40pm
Nicolas Jackson,CHE,F,93,262.25,8.74,74,,65.50,47.00,28,74,90,9.1,6.1,-3.0,10.7,11.4,-0.7,5.4,2.5,,6.4,18.0,0.3,48,2214,0,0.0,0,0,0,,,,,,,100,200,0,0.01,0.32,6/27/2025 12:40pm
Brennan Johnson,TOT,F,94,262.00,8.19,88,,75.80,58.00,24,63,69,9.3,7.1,-2.2,10.9,9.8,1.2,4.7,,,5.6,17.9,0.8,51,2165,0,0.0,0,0,0,,0.50,8.4,5.0,80,0,96,200,0,0.01,0.31,6/27/2025 12:40pm
William Saliba,ARS,D,95,261.50,7.47,97,,53.70,97.00,35,92,100,7.5,6.8,-0.7,7.7,8.1,-0.3,6.7,5.6,,6.9,12.9,2.1,35,3039,0,0.0,0,0,0,,,8.0,5.5,90,0,100,142,58,0.01,0.24,6/27/2025 12:40pm
Adama Traore,FUL,F,96,261.00,7.46,50,checked,362.80,170.00,18,47,49,9.8,7.8,-2.1,13.5,13.5,0.0,7.5,,,10.4,17.5,2.1,25,1740,0,0.0,0,0,0,,0.00,10.6,8.5,78,1,64,103,-42,0.02,0.31,6/27/2025 12:40pm
Mohammed Kudus,WHU,M,97,260.00,8.39,97,checked,19.70,16.00,31,82,97,8.4,8.3,-0.1,9.5,10.2,-0.7,6.6,6.2,,7.2,13.7,3.1,28,2584,1,0.0,1,2,0,,,11.8,8.0,85,1,100,25,11,0.01,0.43,6/27/2025 12:40pm
Pedro Neto,CHE,F,98,258.75,7.61,95,checked,43.20,41.50,24,63,67,8.7,5.0,-3.7,10.6,10.6,0.0,6.9,5.9,,8.4,16.3,1.1,27,2252,61,2.4,32,9,3,,1.50,10.5,7.5,82,1,100,44,1,0.01,0.18,6/27/2025 12:40pm
Harvey Barnes,NEW,M,99,258.50,8.08,94,checked,108.50,105.50,17,45,50,11.4,9.5,-1.9,13.6,12.4,1.2,5.9,5.0,,7.5,18.9,3.9,45,1730,2,0.1,1,2,0,,2.25,11.2,6.8,73,1,100,56,4,0.04,0.75,6/27/2025 12:40pm
Levi Colwill,CHE,D,100,256.50,7.54,66,checked,149.50,171.00,35,92,95,8.0,7.3,-0.8,8.0,7.9,0.2,8.4,6.6,,8.4,14.6,1.4,31,3148,0,0.0,0,0,0,,7.50,7.1,6.3,89,1,75,118,12,0.01,0.42,6/27/2025 12:40pm
Alejandro Garnacho,MUN,M,101,256.00,7.11,91,,39.10,36.00,23,61,64,8.5,6.3,-2.3,10.6,11.2,-0.6,6.2,9.3,,7.4,16.2,0.9,32,2174,2,0.1,1,1,0,,,8.3,5.4,81,0,100,145,-47,0.02,0.35,6/27/2025 12:40pm
Nick Pope,NEW,G,102,255.25,9.45,87,checked,300.00,300.00,28,74,90,9.5,9.4,-0.2,9.5,9.3,0.3,9.6,9.1,,9.6,14.1,4.9,24,2520,0,0.0,0,0,0,,13.50,7.7,7.7,90,1,96,200,0,0.03,0.70,6/27/2025 12:40pm
Iliman Ndiaye,EVE,F,103,254.25,7.95,72,checked,152.90,122.00,29,76,88,8.9,7.5,-1.4,9.8,9.3,0.5,6.3,5.1,,7.0,15.9,1.8,31,2422,13,0.5,8,8,0,,8.50,8.6,6.5,82,1,100,46,19,0.01,0.26,6/27/2025 12:40pm
Callum Hudson-Odoi,NOT,F,104,254.00,8.47,80,,106.10,74.50,25,66,78,9.2,9.0,-0.2,10.5,9.5,1.0,7.1,,,8.0,15.0,3.3,25,2179,6,0.3,4,2,0,,,8.3,6.5,82,0,85,200,0,0.01,0.29,6/27/2025 12:40pm
Noussair Mazraoui,MUN,D,105,252.00,7.00,68,checked,300.00,300.00,34,89,92,7.5,7.5,-0.0,8.2,8.4,-0.2,8.7,8.9,,9.6,12.8,2.3,19,2834,0,0.0,0,0,0,,7.25,4.6,6.2,83,1,60,200,0,0.01,0.24,6/27/2025 12:40pm
Diogo Dalot,MUN,D,106,251.50,7.86,65,,66.00,67.50,31,82,94,8.0,7.3,-0.7,8.1,8.2,-0.1,8.7,,,8.9,14.0,2.0,30,2810,0,0.0,0,0,0,,,,,,,35,200,0,0.01,0.37,6/27/2025 12:40pm
Mateus Goncalo Espanha Fernandes,SOU,M,107,251.50,7.19,46,checked,300.00,300.00,34,89,94,7.8,7.6,-0.2,8.3,8.7,-0.4,6.9,7.1,,7.4,13.1,2.5,17,2904,78,2.4,43,13,5,,11.50,6.2,4.9,84,1,96,200,0,0.01,0.27,6/27/2025 12:40pm
Ibrahima Konate,LIV,D,108,249.75,8.32,89,,121.90,137.50,30,79,94,8.3,9.1,0.9,8.9,9.0,-0.1,7.5,7.0,,8.1,14.5,2.0,35,2561,0,0.0,0,0,0,,6.50,9.2,7.3,85,0,100,99,16,0.01,0.44,6/27/2025 12:40pm
Jamie Vardy,LEI,F,109,249.50,7.13,78,,139.20,157.00,35,92,100,7.1,6.5,-0.6,8.0,8.3,-0.4,4.2,3.2,,4.7,13.4,0.8,44,2825,3,0.1,2,6,0,,,,,,,89,95,105,-0.01,-0.22,6/27/2025 12:40pm
Ryan Gravenberch,LIV,M,110,247.25,6.87,70,,394.90,187.00,37,97,100,6.5,6.0,-0.5,6.9,7.2,-0.3,6.0,4.7,,6.3,11.0,2.0,16,3158,0,0.0,0,0,0,,3.00,7.7,5.9,82,0,85,200,0,0.00,-0.18,6/27/2025 12:40pm
Andre Onana,MUN,G,111,247.00,7.26,65,checked,300.00,300.00,34,89,100,7.3,7.3,-0.0,7.3,6.9,0.4,7.5,5.1,,7.5,13.7,0.8,29,3060,0,0.0,0,0,0,,,7.7,7.7,90,0,39,200,0,0.00,0.09,6/27/2025 12:40pm
Ryan Christie,BOU,M,112,246.75,8.51,40,,112.20,97.50,27,71,93,8.6,7.5,-1.1,10.5,10.6,-0.1,8.0,,,9.4,15.1,2.1,18,2112,29,1.2,16,5,0,,,,,,,3,200,0,0.02,0.44,6/27/2025 12:40pm
Ola Aina,NOT,D,113,245.75,7.23,72,checked,376.60,174.00,35,92,100,7.2,6.5,-0.7,7.5,7.2,0.4,6.8,7.7,,7.2,13.9,0.4,40,2996,0,0.0,0,0,0,,8.75,3.4,5.1,85,1,89,200,0,0.00,0.13,6/27/2025 12:40pm
Thomas Partey,ARS,M,114,244.50,7.19,66,checked,324.20,178.00,31,82,84,7.4,7.0,-0.4,8.1,7.4,0.7,5.9,5.7,,6.3,11.8,3.1,25,2790,0,0.0,0,0,0,,6.00,8.6,6.7,86,1,78,97,103,0.00,0.13,6/27/2025 12:40pm
Keane Lewis-Potter,BRF,F,115,244.50,6.61,51,checked,1148.80,300.00,36,95,95,6.9,6.4,-0.6,7.3,7.6,-0.2,6.2,4.7,,6.5,12.2,1.7,16,3090,6,0.2,3,0,0,,6.50,7.4,5.9,84,1,75,200,0,-0.01,-0.28,6/27/2025 12:40pm
Danny Welbeck,BHA,F,116,240.00,8.00,74,checked,362.30,184.50,24,63,80,9.4,8.3,-1.1,10.3,9.2,1.1,5.1,6.4,,5.6,16.8,1.9,50,2103,10,0.4,6,11,0,,,8.9,4.5,76,1,100,131,16,0.01,0.32,6/27/2025 12:40pm
Kepa,BOU,G,117,237.00,7.90,53,checked,300.00,300.00,31,82,97,7.9,7.0,-0.9,7.9,8.0,-0.1,8.5,6.1,,8.5,13.5,2.3,26,2790,0,0.0,0,0,0,,-1.00,7.7,7.7,90,1,78,200,0,0.01,0.27,6/27/2025 12:40pm
Jan-Paul van Hecke,BHA,D,118,236.75,7.17,40,checked,351.10,300.00,33,87,97,7.2,6.3,-1.0,7.3,7.9,-0.6,8.9,7.8,,8.9,13.1,1.4,25,2955,0,0.0,0,0,0,,4.50,6.4,6.7,90,1,14,200,0,0.00,0.14,6/27/2025 12:40pm
Mateo Kovacic,MCI,M,119,235.75,7.60,70,,344.70,300.00,25,66,76,8.2,5.5,-2.7,9.7,,,6.1,6.1,,7.0,14.9,1.5,35,2184,0,0.0,0,0,0,,,,,,,75,200,0,0.01,0.29,6/27/2025 12:40pm
Illia Zabarnyi,BOU,D,120,234.50,6.70,48,checked,315.20,189.00,35,92,97,7.4,5.8,-1.6,7.5,8.0,-0.5,8.6,8.8,,8.7,13.1,1.6,21,3109,0,0.0,0,0,0,,11.75,9.3,6.9,88,1,64,200,0,0.01,0.20,6/27/2025 12:40pm
Phil Foden,MCI,M,121,234.25,8.68,94,,5.90,6.00,20,53,61,10.7,8.4,-2.3,11.9,11.7,0.3,6.8,,,7.7,19.9,1.4,37,1763,63,3.2,38,17,0,,,10.8,6.5,84,0,100,64,-32,0.04,0.74,6/27/2025 12:40pm
Marcus Tavernier,BOU,M,122,231.75,8.28,86,checked,101.80,70.00,20,53,69,10.0,8.5,-1.5,11.8,12.0,-0.2,8.1,7.8,,8.9,16.4,3.6,29,1921,68,3.2,41,15,0,,19.00,15.9,10.0,81,1,100,11,5,0.03,0.61,6/27/2025 12:40pm
Aaron Ramsdale,SOU,G,123,231.75,7.99,17,checked,300.00,300.00,30,79,94,8.1,6.3,-1.9,8.1,7.6,0.5,11.3,9.7,,11.3,14.6,1.6,10,2700,0,0.0,0,0,0,,15.25,7.7,7.7,90,1,60,200,0,0.01,0.33,6/27/2025 12:40pm
Jurrien Timber,ARS,D,124,229.25,7.64,80,,107.80,135.00,27,71,84,8.3,8.5,0.3,8.6,8.0,0.5,6.7,,,7.0,14.1,2.4,42,2410,0,0.0,0,0,0,,,,,,,64,136,8,0.01,0.39,6/27/2025 12:40pm
Pervis Estupinan,BHA,D,125,228.75,7.62,76,checked,115.70,105.50,26,68,84,8.4,7.9,-0.6,8.6,9.3,-0.7,10.9,12.6,,11.0,14.9,1.9,15,2396,44,1.7,23,17,0,,,8.5,7.5,83,1,92,200,0,0.02,0.43,6/27/2025 12:40pm
Jarrad Branthwaite,EVE,D,126,227.00,7.57,83,,95.50,104.50,28,74,93,8.1,7.3,-0.8,8.2,8.4,-0.2,8.2,8.7,,8.3,12.9,3.3,27,2507,0,0.0,0,0,0,,,2.9,5.8,90,0,100,124,12,0.01,0.36,6/27/2025 12:40pm
Carlos Baleba,BHA,M,127,226.75,6.87,53,checked,1144.10,300.00,31,82,86,7.2,6.0,-1.2,8.0,8.3,-0.3,6.5,4.8,,7.2,13.4,1.0,18,2653,1,0.0,0,0,0,,7.50,8.8,7.4,82,1,78,123,12,0.00,0.07,6/27/2025 12:40pm
Sandro Tonali,NEW,M,128,225.00,6.43,82,checked,126.50,143.00,28,74,78,7.6,6.4,-1.2,8.2,8.4,-0.2,5.9,8.8,,6.4,13.3,1.8,25,2618,28,1.0,12,8,9,,13.00,8.0,5.4,83,1,100,200,0,0.01,0.16,6/27/2025 12:40pm
Nelson Semedo,WOL,D,129,223.00,6.76,44,checked,334.50,172.00,32,84,94,7.2,6.8,-0.4,7.3,7.4,-0.1,8.2,8.0,,8.5,12.0,2.3,33,2879,0,0.0,0,0,0,,14.50,6.2,6.7,87,1,39,200,0,0.00,0.12,6/27/2025 12:40pm
Alisson,LIV,G,130,222.75,8.25,94,checked,300.00,300.00,28,74,100,8.2,7.1,-1.1,8.3,8.6,-0.3,7.5,10.4,,7.5,13.7,2.8,35,2508,0,0.0,0,0,0,,10.00,7.7,7.7,90,1,89,200,0,0.01,0.34,6/27/2025 12:40pm
Dwight McNeil,EVE,M,131,222.50,11.12,95,checked,51.40,32.00,15,39,71,13.6,13.0,-0.6,14.9,12.1,2.8,8.6,,,9.2,20.9,6.3,39,1361,63,4.1,69,22,0,,,12.0,10.2,86,1,100,5,7,0.07,0.99,6/27/2025 12:40pm
Joelinton,NEW,M,132,221.50,7.64,61,,107.40,86.50,29,76,100,7.6,5.3,-2.4,8.3,8.0,0.4,5.9,,,6.5,14.0,1.2,32,2394,0,0.0,0,0,0,,,7.5,5.1,83,0,35,200,0,0.01,0.19,6/27/2025 12:40pm
Kai Havertz,ARS,F,133,221.50,10.07,60,,19.10,17.00,21,55,88,10.6,8.0,-2.6,10.8,10.8,-0.0,6.3,,,6.5,18.6,2.7,44,1869,0,0.0,0,0,0,,,,,,,32,200,0,0.02,0.51,6/27/2025 12:40pm
Dara O'Shea,IPS,D,134,220.00,6.47,19,checked,300.00,300.00,35,92,97,6.4,6.3,-0.2,6.5,7.1,-0.6,10.3,8.7,,10.4,12.5,0.4,12,3122,0,0.0,0,0,0,,10.75,7.5,9.0,89,1,46,200,0,0.00,-0.13,6/27/2025 12:40pm
Idrissa Gueye,EVE,M,135,218.75,6.08,40,checked,354.10,186.00,35,92,95,6.2,5.3,-1.0,6.5,6.6,-0.1,5.9,4.2,,6.2,10.6,1.8,14,3055,0,0.0,0,0,0,,3.25,7.0,6.4,82,1,46,200,0,-0.01,-0.28,6/27/2025 12:40pm
Trevoh Chalobah,CHE,D,136,218.50,8.74,53,checked,1184.80,300.00,23,61,77,9.5,8.0,-1.5,10.0,9.6,0.4,8.8,7.0,,9.2,16.6,2.4,33,1968,0,0.0,0,0,0,,,7.6,6.8,85,1,82,100,-4,0.03,0.62,6/27/2025 12:40pm
Valentino Livramento,NEW,D,137,217.25,6.03,69,checked,137.80,140.00,32,84,86,6.7,6.6,-0.1,7.2,7.8,-0.6,7.1,7.8,,7.7,12.4,1.0,30,2831,1,0.0,0,0,0,,10.75,7.9,5.8,83,1,89,200,0,0.00,-0.03,6/27/2025 12:40pm
Andreas Pereira,FUL,M,138,217.00,6.78,73,,83.10,68.50,25,66,71,8.0,7.0,-1.0,9.9,10.4,-0.5,6.5,2.4,,8.0,13.5,2.5,27,1993,139,6.2,89,41,0,,2.00,7.8,5.3,75,0,89,75,28,0.01,0.25,6/27/2025 12:40pm
Dominic Solanke,TOT,F,139,214.50,8.25,89,,22.80,21.00,25,66,89,9.1,6.5,-2.6,9.4,9.7,-0.4,4.9,,,5.0,17.6,0.7,49,2197,1,0.0,1,5,1,,4.75,10.2,5.2,88,0,100,76,5,0.01,0.28,6/27/2025 12:40pm
Bilal El Khannouss,LEI,M,140,213.75,6.68,45,checked,300.00,300.00,27,71,77,7.9,5.5,-2.4,8.9,8.8,0.1,6.5,8.7,,7.3,14.9,0.8,21,2170,47,1.9,36,12,0,,,7.1,6.0,77,1,71,146,54,0.01,0.23,6/27/2025 12:40pm
Wilfred Ndidi,LEI,M,141,213.50,7.62,37,checked,356.50,300.00,28,74,100,7.6,6.5,-1.1,8.3,8.4,-0.2,7.2,7.9,,7.8,12.3,3.0,15,2323,0,0.0,0,0,0,,,8.9,8.1,83,1,67,77,32,0.01,0.18,6/27/2025 12:40pm
Mikel Merino,ARS,M,142,211.50,7.83,65,checked,300.00,300.00,17,45,61,9.9,9.8,-0.2,12.4,12.2,0.2,7.0,7.7,,8.5,14.2,5.7,37,1564,0,0.0,0,0,0,,3.75,13.5,8.2,83,1,96,24,1,0.03,0.50,6/27/2025 12:40pm
Bart Verbruggen,BHA,G,143,211.50,6.04,29,checked,300.00,300.00,36,95,100,5.9,6.1,0.2,5.9,6.0,-0.1,7.7,8.1,,7.7,12.3,-0.5,30,3240,0,0.0,0,0,0,,4.00,7.7,7.7,90,1,25,200,0,-0.01,-0.38,6/27/2025 12:40pm
Marcus Rashford,AVL,F,144,208.75,8.35,67,,67.80,60.00,16,42,62,9.3,8.4,-1.0,13.4,12.8,0.5,5.8,,,8.6,16.3,2.4,37,1407,29,5.9,75,33,0,,,,,,,50,200,0,0.01,0.21,6/27/2025 12:40pm
James Justin,LEI,D,145,208.75,5.96,28,checked,205.90,177.50,34,89,92,6.4,4.6,-1.7,6.8,6.7,0.1,9.1,9.1,,9.8,12.4,0.4,24,2908,3,0.1,2,1,0,,14.50,3.0,7.1,84,1,17,200,0,0.00,-0.15,6/27/2025 12:40pm
Sepp van den Berg,BRF,D,146,208.50,6.95,28,checked,1117.80,300.00,29,76,91,7.5,7.3,-0.2,7.7,8.7,-1.0,9.6,8.7,,9.9,11.3,3.6,17,2582,0,0.0,0,0,0,,13.75,8.2,8.8,88,1,89,62,6,0.01,0.20,6/27/2025 12:40pm
Jan Bednarek,SOU,D,147,207.00,6.90,14,checked,1126.70,300.00,30,79,100,6.9,4.5,-2.4,7.4,7.1,0.3,9.9,7.4,,10.6,13.3,0.5,18,2531,0,0.0,0,0,0,,,4.2,7.9,84,1,60,200,0,0.00,0.03,6/27/2025 12:40pm
Toti,WOL,D,148,206.50,6.88,37,checked,370.70,300.00,30,79,94,6.9,6.8,-0.2,7.2,7.7,-0.5,8.5,8.0,,8.9,12.8,1.0,26,2612,0,0.0,0,0,0,,4.75,6.1,6.9,85,1,60,200,0,0.00,0.03,6/27/2025 12:40pm
Ashley Young,EVE,D,149,206.50,6.66,27,checked,300.00,300.00,19,50,53,9.9,11.8,1.8,10.7,9.7,1.0,8.6,,,9.4,18.5,1.3,42,1852,23,1.1,18,10,0,,10.00,3.0,5.4,82,1,14,87,113,0.03,0.59,6/27/2025 12:40pm
Leif Davis,IPS,D,150,204.25,6.38,56,checked,85.70,71.50,32,84,97,6.5,5.5,-1.0,6.8,8.4,-1.5,10.2,9.8,,10.7,13.1,-0.1,17,2741,106,3.5,67,31,6,,9.50,9.0,9.4,85,1,35,42,21,0.00,-0.10,6/27/2025 12:40pm
Omari Hutchinson,IPS,M,151,203.75,6.79,59,checked,111.70,97.00,30,79,94,6.9,4.5,-2.4,7.2,7.3,-0.1,5.6,8.7,,5.9,12.1,1.6,23,2578,9,0.3,6,1,1,,3.50,7.1,4.9,84,1,28,200,0,0.00,-0.04,6/27/2025 12:40pm
Lucas Paqueta,WHU,M,152,201.00,6.28,78,checked,66.10,70.50,27,71,79,7.2,5.8,-1.4,7.7,8.6,-0.9,6.1,7.8,,6.7,12.7,1.6,23,2369,12,0.5,8,13,0,,,10.3,6.6,84,1,100,61,28,0.00,0.04,6/27/2025 12:40pm
Andrew Robertson,LIV,D,153,200.75,6.27,84,checked,43.40,29.50,29,76,76,6.7,6.8,0.1,7.3,9.3,-2.1,6.9,5.1,,7.7,12.2,1.1,34,2476,69,2.5,31,10,3,,1.25,8.7,5.6,83,1,89,120,12,0.00,-0.04,6/27/2025 12:40pm
Beto,EVE,F,154,198.25,6.84,64,checked,414.30,300.00,15,39,39,11.2,8.8,-2.5,12.4,12.9,-0.5,7.2,7.3,,8.3,19.6,2.8,35,1504,1,0.1,1,0,0,,8.75,9.6,7.1,75,1,78,40,22,0.03,0.44,6/27/2025 12:40pm
Matthijs de Ligt,MUN,D,155,197.25,6.80,36,,300.00,300.00,25,66,83,7.5,6.3,-1.3,8.4,8.6,-0.2,8.7,,,9.8,14.9,0.2,22,2116,0,0.0,0,0,0,,,4.9,6.5,84,0,42,200,0,0.01,0.18,6/27/2025 12:40pm
Mads Hermansen,LEI,G,156,197.25,7.31,16,,300.00,300.00,27,71,100,7.3,5.8,-1.6,7.4,7.4,0.0,11.1,,,11.3,14.1,0.5,4,2385,0,0.0,0,0,0,,,,,,,7,200,0,0.00,0.08,6/27/2025 12:40pm
Facundo Buonanotte,LEI,M,157,196.50,6.55,29,,354.00,161.00,14,37,41,11.3,11.1,-0.2,11.9,11.7,0.2,8.9,,,9.3,17.2,5.4,30,1490,37,2.2,41,16,0,,,8.6,7.2,71,0,17,96,38,0.04,0.61,6/27/2025 12:40pm
Jose Sa,WOL,G,158,195.25,6.97,39,checked,300.00,300.00,29,76,88,7.4,7.3,-0.1,7.4,7.3,0.1,8.3,9.1,,8.3,13.9,0.8,26,2608,0,0.0,0,0,0,,20.00,7.7,7.7,90,1,35,200,0,0.00,0.10,6/27/2025 12:40pm
Jadon Sancho,CHE,F,159,194.75,6.49,50,checked,139.70,143.50,19,50,59,7.2,5.0,-2.2,10.2,9.4,0.8,5.2,,,7.2,13.5,0.8,29,1743,2,0.1,1,0,0,,2.50,9.7,6.9,79,1,67,134,-18,-0.01,-0.11,6/27/2025 10:05am
Georginio Rutter,BHA,F,160,192.00,6.86,24,,300.00,300.00,19,50,68,8.3,7.5,-0.8,10.5,9.2,1.4,5.2,,,6.3,14.4,2.1,42,1643,0,0.0,0,0,0,,,9.6,6.0,75,0,14,141,59,0.00,0.07,6/27/2025 12:40pm
Yasin Ayari,BHA,M,161,191.50,5.80,12,checked,300.00,300.00,22,58,61,7.5,7.3,-0.3,9.0,9.5,-0.5,6.4,5.7,,7.8,11.9,3.1,16,1944,52,2.4,34,16,3,,2.75,9.2,7.5,79,1,25,200,0,0.01,0.12,6/27/2025 12:40pm
Ederson,MCI,G,162,189.75,7.59,74,checked,300.00,300.00,26,68,87,7.9,6.1,-1.7,7.9,7.0,0.9,6.0,2.1,,6.1,14.5,1.2,53,2320,0,0.0,0,0,0,,6.25,7.7,7.7,90,1,42,200,0,0.01,0.22,6/27/2025 12:40pm
Joao Gomes,WOL,M,163,188.75,5.39,34,checked,321.40,300.00,35,92,97,5.6,4.0,-1.6,6.0,6.3,-0.2,5.2,5.6,,5.6,11.8,-0.6,20,2971,1,0.0,1,0,0,,12.25,6.3,4.9,83,1,39,200,0,-0.01,-0.49,6/27/2025 12:40pm
Emile Smith Rowe,FUL,M,164,188.00,5.70,76,,72.20,62.00,25,66,74,6.7,4.5,-2.2,8.6,7.5,1.0,4.1,,,5.3,13.0,0.4,41,2029,1,0.0,1,0,0,,,5.9,3.8,74,0,60,200,0,0.00,-0.08,6/27/2025 12:40pm
Joachim Andersen,FUL,D,165,185.25,6.39,53,checked,92.70,96.00,30,79,94,6.4,5.3,-1.2,6.5,7.8,-1.3,9.4,10.4,,9.6,11.7,1.1,12,2661,1,1.0,16,0,0,,11.00,3.8,6.2,90,1,46,200,0,0.00,-0.11,6/27/2025 12:40pm
Pape Sarr,TOT,M,166,185.00,5.29,21,,267.10,158.00,22,58,58,5.9,4.3,-1.7,8.9,9.1,-0.2,5.4,4.5,,7.5,13.2,-1.4,22,1888,0,0.0,0,0,0,,1.00,6.7,5.6,70,1,10,200,0,-0.01,-0.24,6/27/2025 12:40pm
Jean-Ricner Bellegarde,WOL,M,167,184.25,5.42,22,,1168.10,177.00,20,53,54,7.4,7.3,-0.1,10.0,8.7,1.3,4.9,,,6.7,12.8,1.9,36,1653,9,0.5,9,5,0,,,8.3,6.1,66,0,46,150,50,0.00,0.07,6/27/2025 12:40pm
Jack Harrison,EVE,M,168,181.25,5.49,36,,136.00,126.00,24,63,63,7.0,6.5,-0.5,8.1,9.2,-1.2,5.7,4.1,,6.5,12.3,1.7,18,2059,46,2.0,33,9,2,,2.00,8.3,6.5,80,0,71,81,25,0.00,-0.01,6/27/2025 12:40pm
Ethan Pinnock,BRF,D,169,180.75,8.22,49,,91.40,79.50,21,55,68,8.4,7.5,-0.9,8.5,8.8,-0.3,10.7,,,10.7,13.9,2.9,18,1911,0,0.0,0,0,0,,,8.1,8.7,90,0,42,200,0,0.02,0.35,6/27/2025 12:40pm
Abdoulaye Doucoure,EVE,M,170,180.50,5.64,53,,127.50,137.00,31,82,91,5.8,5.0,-0.8,6.4,7.0,-0.7,4.6,4.6,,5.1,11.0,0.5,28,2561,0,0.0,0,0,0,,,6.4,4.9,82,0,60,93,107,-0.01,-0.38,6/27/2025 12:40pm
Taylor Harwood-Bellis,SOU,D,171,178.50,5.25,6,,353.40,300.00,32,84,94,5.4,4.8,-0.7,5.7,6.1,-0.4,9.0,9.0,,9.5,10.0,0.8,16,2823,0,0.0,0,0,0,,,6.4,6.0,86,0,3,200,0,-0.01,-0.44,6/27/2025 12:40pm
Ilkay Gundogan,MCI,M,172,176.50,5.52,49,checked,300.00,300.00,25,66,68,8.1,7.0,-1.1,8.6,,,5.7,5.9,,6.1,15.0,1.3,29,2207,55,2.2,26,11,3,,15.50,7.8,5.0,83,1,85,137,-49,0.01,0.28,6/27/2025 12:40pm
Matty Cash,AVL,D,173,176.00,6.77,43,checked,209.30,171.00,24,63,83,7.2,8.1,0.9,8.0,7.2,0.7,7.1,5.7,,7.9,12.9,1.4,32,2068,0,0.0,0,0,0,,11.50,5.8,5.1,83,1,25,200,0,0.00,0.10,6/27/2025 12:40pm
