Player,Team,Pos,RkOv,FPts,PPG,Ros%,G1 Start,ADP,Big 3 ADP,Starts,% Starts,% SiS,PPS,Median PPS,Median - Mean,PP90,xPP90,xPP90 Δ,gPPS,gPPS Form,23/24 gPPS,gPP90,Ceiling,Floor,GACS%,Mins,Total SP,SPP90,SP%,SP Reliance%,Prev SP,Prev FPts,Prev gPts,ProjFPts,ProjGPts,ProjMins,ProjGS,Big 3 Ros%,ROS Rank,+/-,WARPS,WAR,Last Updated
Mark Flekken,BRF,G,20,369.50,10.26,88,checked,300.00,300.00,37,97,100,10.3,10.3,-0.0,10.5,10.2,0.2,11.4,9.3,,11.6,16.5,4.0,18,3275,0,0.0,0,0,0,,13.00,7.7,7.7,90,1,100,200,0,0.03,1.20,6/27/2025 12:40pm
Virgil van Dijk,LIV,D,21,368.50,10.24,98,checked,44.10,52.50,37,97,97,10.3,10.3,-0.0,10.3,10.1,0.2,9.3,10.1,,9.3,15.8,4.7,32,3330,1,0.0,0,0,0,,15.50,11.4,9.4,89,1,100,33,22,0.03,1.29,6/27/2025 12:40pm
Morgan Gibbs-White,NOT,M,22,363.50,11.02,100,checked,27.20,18.00,34,89,100,10.7,8.4,-2.4,11.7,10.6,1.1,7.2,6.8,,7.9,18.7,2.8,39,2801,5,0.2,3,4,0,,1.25,8.6,6.1,85,1,100,36,-21,0.04,1.28,6/27/2025 12:40pm
Mikkel Damsgaard,BRF,M,23,357.00,9.65,84,checked,402.60,300.00,34,89,89,10.3,9.6,-0.7,11.2,11.1,0.1,7.8,5.0,,8.6,17.4,3.2,25,2899,78,2.4,37,10,2,,3.75,10.1,8.0,81,1,100,45,-21,0.03,1.13,6/27/2025 12:40pm
Morgan Rogers,AVL,M,24,354.50,9.85,99,checked,104.50,83.00,37,97,100,9.5,9.3,-0.3,10.2,9.3,0.9,6.0,7.2,,6.5,17.2,1.9,42,3111,0,0.0,0,0,0,,0.50,7.6,4.4,81,1,96,50,8,0.03,0.95,6/27/2025 12:40pm
Ollie Watkins,AVL,F,25,353.00,9.54,100,checked,8.10,11.00,31,82,82,10.8,11.8,0.9,12.3,11.1,1.2,4.9,4.8,,5.7,19.4,2.3,54,2585,2,0.1,1,11,0,,1.50,10.3,5.1,83,1,100,13,0,0.03,0.81,6/27/2025 12:40pm
Justin Kluivert,BOU,M,26,353.00,10.70,89,checked,151.10,154.50,29,76,85,11.0,6.5,-4.5,13.8,13.0,0.9,6.8,2.9,,8.3,22.0,0.1,44,2331,43,1.6,21,25,3,,4.25,14.5,7.9,72,1,100,15,6,0.04,1.17,6/27/2025 12:40pm
James Tarkowski,EVE,D,27,352.75,10.69,56,,57.40,38.00,33,87,100,10.7,11.5,0.8,10.9,11.3,-0.4,11.0,,,11.2,16.8,4.6,22,2922,0,0.0,0,0,0,,,,,,,3,200,0,0.04,1.29,6/27/2025 12:40pm
Nikola Milenkovic,NOT,D,28,352.50,9.79,83,checked,371.10,169.50,37,97,100,9.7,9.5,-0.2,9.7,,,8.5,8.7,,8.5,15.6,3.8,40,3330,0,0.0,0,0,0,,8.50,3.9,5.8,90,1,100,200,0,0.03,1.08,6/27/2025 12:40pm
Youri Tielemans,AVL,M,29,352.00,10.06,81,,141.70,157.00,35,92,97,10.1,10.3,0.2,10.6,10.8,-0.2,8.2,7.3,,8.7,15.2,5.0,21,3024,105,3.1,40,19,0,,,9.8,7.4,83,0,100,74,126,0.03,1.08,6/27/2025 12:40pm
Kaoru Mitoma,BHA,M,30,351.25,10.04,96,checked,44.10,37.00,28,74,78,10.7,9.5,-1.2,12.6,12.3,0.3,7.5,,,8.3,17.3,4.2,35,2588,0,0.0,0,0,0,,,12.5,8.3,86,0,100,30,-2,0.04,1.06,6/27/2025 12:40pm
Josko Gvardiol,MCI,D,31,350.50,9.74,100,checked,39.60,46.00,36,95,95,10.1,9.4,-0.7,10.1,,,9.0,7.0,,9.0,16.0,4.2,35,3276,0,0.0,0,0,0,,12.25,8.0,7.3,88,1,100,68,-20,0.03,1.20,6/27/2025 12:40pm
Pedro Porro,TOT,D,32,346.00,10.81,96,checked,34.00,31.00,28,74,74,11.8,12.1,0.3,12.0,11.4,0.6,12.2,14.3,,12.2,20.0,3.7,28,2599,72,2.5,31,16,1,,11.25,8.6,9.9,89,0,100,98,-19,0.05,1.41,6/27/2025 12:40pm
Jacob Murphy,NEW,M,33,345.75,10.17,94,checked,133.80,117.00,31,82,84,10.6,8.0,-2.6,13.3,11.6,1.7,6.0,5.8,,7.4,19.1,2.1,46,2351,16,0.6,8,2,1,,1.50,9.6,6.3,75,1,100,79,8,0.04,1.13,6/27/2025 12:40pm
Bukayo Saka,ARS,M,34,339.50,14.15,100,checked,2.40,1.00,20,53,80,15.9,13.8,-2.2,18.0,17.3,0.7,10.2,9.6,,11.5,27.6,4.2,37,1719,69,3.6,42,17,1,,,20.3,13.4,82,1,100,1,3,0.09,1.80,6/27/2025 12:40pm
Aaron Wan-Bissaka,WHU,D,35,336.75,9.62,87,checked,150.00,167.00,35,92,95,10.0,8.5,-1.5,10.1,9.7,0.4,10.8,10.9,,10.9,17.1,3.0,28,3151,0,0.0,0,0,0,,11.00,10.5,9.8,88,1,100,41,15,0.03,1.13,6/27/2025 12:40pm
Dominik Szoboszlai,LIV,M,36,331.00,9.46,98,,53.00,42.50,29,76,81,11.3,9.5,-1.8,12.2,12.1,0.1,7.3,9.2,,8.1,20.9,1.6,37,2479,23,0.8,10,5,3,,5.50,11.7,7.6,79,0,100,34,23,0.04,1.25,6/27/2025 12:40pm
Milos Kerkez,BOU,D,37,329.75,8.91,87,checked,232.10,176.00,38,100,100,9.0,6.3,-2.7,9.2,8.3,0.9,8.5,8.9,,8.7,15.5,2.5,34,3336,11,0.3,4,1,0,,6.00,11.6,8.2,85,1,100,38,31,0.02,0.84,6/27/2025 12:40pm
Rayan Ait-Nouri,WOL,D,38,327.75,9.10,95,checked,119.90,146.00,37,97,100,9.2,7.0,-2.2,9.9,10.2,-0.4,9.7,11.7,,10.4,17.5,0.9,39,3108,36,1.0,20,8,1,,14.25,8.3,8.1,81,1,100,127,13,0.02,0.89,6/27/2025 12:40pm
Matz Sels,NOT,G,39,326.25,8.82,83,checked,300.00,300.00,38,100,100,8.7,8.3,-0.5,8.7,8.5,0.3,8.4,8.8,,8.4,14.7,2.8,33,3420,0,0.0,0,0,0,,7.25,7.7,7.7,90,1,100,200,0,0.02,0.65,6/27/2025 12:40pm
Jordan Pickford,EVE,G,40,325.00,8.78,97,checked,300.00,300.00,38,100,100,9.2,8.3,-0.9,9.2,8.5,0.7,8.7,10.9,,8.7,15.6,2.8,30,3420,0,0.0,0,0,0,,16.00,7.7,7.7,90,1,100,200,0,0.02,0.82,6/27/2025 12:40pm
Raul Jimenez,FUL,F,41,324.75,8.78,81,checked,377.00,166.50,30,79,79,10.4,9.9,-0.5,11.9,12.0,-0.1,6.3,7.5,,7.6,18.2,2.6,38,2476,4,0.1,2,12,0,,3.50,8.3,4.7,74,1,100,59,11,0.02,0.66,6/27/2025 12:40pm
Son Heung-Min,TOT,F,42,324.00,10.80,98,,9.50,9.00,24,63,80,12.1,11.0,-1.1,13.9,13.4,0.5,7.3,,,8.5,21.6,2.6,40,2100,50,2.1,26,9,0,,,,,,,100,28,10,0.04,0.89,6/27/2025 12:40pm
Anthony Elanga,NOT,F,43,324.00,8.76,94,checked,128.60,117.00,31,82,82,9.9,9.5,-0.4,11.9,10.3,1.6,6.6,8.0,,7.7,17.2,2.7,36,2486,119,4.3,70,24,7,,5.50,8.2,6.0,80,1,100,101,-55,0.02,0.57,6/27/2025 12:40pm
Murillo,NOT,D,44,323.75,9.25,80,checked,302.00,181.00,36,95,100,9.1,9.6,0.5,9.3,9.2,0.1,9.3,10.1,,9.5,14.4,3.8,28,3188,9,0.3,4,2,0,,5.75,5.0,6.9,88,1,100,200,0,0.02,0.83,6/27/2025 12:40pm
Kevin Schade,BRF,M,45,322.25,8.71,81,checked,246.20,131.00,26,68,68,11.1,8.1,-3.0,13.2,12.1,1.1,6.6,7.9,,8.1,21.2,1.1,40,2271,0,0.0,0,0,0,,10.25,9.1,6.2,79,1,100,43,-9,0.04,1.09,6/27/2025 12:40pm
Dango Ouattara,BOU,M,46,320.00,10.00,50,,273.90,159.50,21,55,66,11.3,9.5,-1.8,14.5,15.5,-1.0,8.6,11.4,,10.5,18.9,3.7,29,1984,4,0.2,2,0,0,,,,,,,100,200,0,0.04,0.92,6/27/2025 12:40pm
James Maddison,TOT,M,47,319.25,10.30,72,,17.10,16.00,21,55,66,13.5,13.0,-0.5,16.1,13.2,2.9,8.2,,,9.6,22.7,4.3,44,1789,82,4.1,50,14,0,,,,,,,96,200,0,0.07,1.38,6/27/2025 12:40pm
Declan Rice,ARS,M,48,317.50,9.34,98,checked,28.50,27.50,33,87,92,9.2,8.3,-1.0,10.5,10.5,0.0,7.5,8.2,,8.2,15.4,3.0,27,2821,143,4.5,53,23,3,,10.00,11.1,8.5,85,1,100,72,-19,0.02,0.74,6/27/2025 12:40pm
Dan Burn,NEW,D,49,317.00,8.81,92,checked,116.60,128.50,37,97,100,8.9,9.3,0.4,8.9,9.4,-0.5,9.6,10.8,,9.6,15.7,2.0,29,3330,0,0.0,0,0,0,,13.00,10.9,8.9,87,1,100,47,25,0.02,0.77,6/27/2025 12:40pm
Bruno Guimaraes,NEW,M,50,315.00,8.51,99,checked,28.30,30.00,38,100,100,8.5,7.4,-1.1,8.9,8.7,0.2,6.4,8.4,,6.7,14.1,2.8,29,3265,11,0.3,4,2,1,,7.50,8.5,6.0,88,1,100,135,10,0.02,0.57,6/27/2025 12:40pm
Jean-Philippe Mateta,CRY,F,51,314.75,8.74,95,,48.90,47.50,33,87,89,8.8,5.0,-3.8,10.8,10.9,-0.1,5.0,3.2,,6.2,17.2,0.4,44,2637,2,0.1,1,7,0,,1.25,7.7,4.8,81,0,100,132,-50,0.01,0.27,6/27/2025 12:40pm
Amad Diallo,MUN,M,52,312.75,12.51,95,checked,113.00,88.50,20,53,71,15.3,14.4,-1.0,16.2,13.9,2.3,9.6,11.2,,10.4,26.0,4.7,37,1891,34,1.6,24,9,1,,10.75,10.7,8.3,80,1,96,54,-5,0.08,1.68,6/27/2025 12:40pm
Alexis Mac Allister,LIV,M,53,310.75,8.88,95,,50.90,55.00,30,79,86,9.9,8.6,-1.2,10.8,9.8,1.0,7.2,,,7.9,16.3,3.5,31,2591,76,2.6,32,13,0,,,,,,,96,90,17,0.03,0.87,6/27/2025 12:40pm
Dejan Kulusevski,TOT,M,54,309.25,9.66,79,,52.40,49.00,27,71,84,11.3,9.0,-2.3,11.7,11.2,0.5,8.0,3.3,,8.4,19.0,3.5,30,2382,62,2.3,29,5,0,,,,,,,100,63,1,0.04,1.16,6/27/2025 12:40pm
Anthony Gordon,NEW,M,55,306.75,9.30,98,checked,16.00,14.00,28,74,82,10.6,9.5,-1.1,11.5,12.1,-0.6,7.2,2.2,,8.0,17.9,3.3,32,2420,69,2.5,33,11,0,,2.50,12.0,7.9,84,1,100,58,1,0.04,1.01,6/27/2025 12:40pm
Leandro Trossard,ARS,M,56,304.50,8.23,97,,76.60,77.00,28,74,74,9.6,7.4,-2.2,11.1,10.7,0.4,5.9,5.7,,6.8,17.7,1.5,42,2527,12,0.4,5,2,0,,,12.9,7.4,78,0,100,53,-1,0.03,0.73,6/27/2025 12:40pm
Ismaila Sarr,CRY,F,57,301.00,8.14,84,checked,117.20,105.00,30,79,79,9.7,7.0,-2.7,10.6,11.7,-1.1,6.4,7.5,,7.0,19.1,0.3,36,2690,0,0.0,0,0,0,,7.50,6.7,4.6,86,1,100,128,-31,0.02,0.48,6/27/2025 12:40pm
David Raya,ARS,G,58,300.75,8.13,93,checked,300.00,300.00,38,100,100,8.0,6.1,-1.9,8.0,8.0,0.0,7.2,6.5,,7.2,13.4,2.6,34,3420,0,0.0,0,0,0,,6.50,7.7,7.7,90,1,92,200,0,0.01,0.39,6/27/2025 12:40pm
Dean Huijsen,BOU,D,59,295.75,9.54,76,checked,363.90,155.00,26,68,68,10.8,10.0,-0.8,11.4,10.5,0.9,10.9,9.1,,11.3,17.7,3.8,28,2417,0,0.0,0,0,0,,,12.7,9.9,90,1,100,26,14,0.04,1.03,6/27/2025 12:40pm
Noni Madueke,CHE,M,60,295.50,9.53,97,checked,95.60,98.00,27,71,82,10.9,7.5,-3.4,13.5,14.3,-0.8,7.6,6.7,,9.3,20.0,1.7,33,2023,1,0.0,1,2,0,,6.00,11.2,8.3,71,1,100,22,8,0.04,1.05,6/27/2025 12:40pm
Vitalii Mykolenko,EVE,D,61,293.50,8.63,84,checked,139.50,148.00,35,92,100,9.0,10.0,1.1,9.2,8.9,0.3,8.6,9.7,,8.8,15.6,2.3,31,3082,4,0.1,2,0,0,,8.75,3.2,5.9,89,1,100,66,27,0.02,0.76,6/27/2025 12:40pm
Cody Gakpo,LIV,F,62,292.75,8.61,99,,46.80,46.50,23,61,66,12.7,13.8,1.0,14.5,13.1,1.4,7.8,7.2,,9.2,20.9,4.5,39,1909,1,0.1,1,0,0,,8.75,11.7,7.4,72,1,100,29,21,0.04,0.97,6/27/2025 12:40pm
Jorgen Strand Larsen,WOL,F,63,291.00,8.56,74,checked,326.40,155.50,30,79,70,9.2,6.6,-2.5,10.5,9.2,1.3,4.9,3.0,,5.5,16.4,1.9,50,2577,0,0.0,0,0,0,,,9.6,5.6,81,1,96,92,9,0.01,0.34,6/27/2025 12:40pm
Maxence Lacroix,CRY,D,64,289.25,8.51,72,checked,300.00,300.00,35,92,100,8.6,8.8,0.1,8.7,9.3,-0.6,8.9,8.0,,9.0,14.8,2.4,30,3115,0,0.0,0,0,0,,14.50,3.3,7.3,89,1,100,200,0,0.02,0.64,6/27/2025 12:40pm
Elliot Anderson,NOT,M,65,288.25,8.01,80,checked,223.40,142.00,33,87,89,8.2,6.8,-1.5,9.6,9.1,0.5,6.9,6.0,,8.1,14.0,2.4,23,2718,54,1.8,29,14,2,,3.75,6.8,5.7,79,1,100,200,0,0.01,0.41,6/27/2025 12:40pm
Max Kilman,WHU,D,66,287.25,7.76,67,checked,138.00,161.00,38,100,100,7.6,7.9,0.2,7.8,8.4,-0.6,10.0,10.0,,10.3,14.1,1.2,15,3348,0,0.0,0,0,0,,7.25,8.5,8.1,89,1,89,113,13,0.01,0.32,6/27/2025 12:40pm
Gabriel Martinelli,ARS,M,67,287.00,8.97,98,checked,40.40,38.00,25,66,71,11.1,11.0,-0.1,11.9,11.9,-0.0,7.2,6.6,,7.8,17.8,4.3,35,2278,3,0.1,1,1,0,,14.50,14.0,8.6,77,1,100,10,16,0.04,1.02,6/27/2025 12:40pm
Tyrick Mitchell,CRY,D,68,286.75,7.97,85,checked,123.50,146.00,37,97,97,8.3,8.8,0.4,9.0,9.5,-0.5,7.8,8.7,,8.4,15.2,1.4,37,3090,0,0.0,0,0,0,,16.00,2.4,6.0,85,1,85,200,0,0.02,0.57,6/27/2025 12:40pm
Neco Williams,NOT,D,69,284.00,8.35,81,checked,166.40,155.00,28,74,74,10.0,10.8,0.7,10.2,9.8,0.3,9.3,11.7,,9.7,16.6,3.4,31,2579,7,0.2,4,3,0,,9.50,5.5,7.1,86,1,100,111,-68,0.03,0.90,6/27/2025 12:40pm
Savio,MCI,F,70,283.75,10.13,89,checked,115.90,108.00,21,55,58,12.7,11.0,-1.7,14.6,15.2,-0.6,9.2,,,10.8,20.4,4.9,26,1751,21,1.1,13,1,0,,,11.2,7.6,79,0,100,31,-23,0.04,0.88,6/27/2025 12:40pm
Robert Sanchez,CHE,G,71,283.75,9.15,59,checked,300.00,300.00,32,84,84,9.4,8.3,-1.2,9.4,8.9,0.5,9.1,8.4,,9.1,16.7,2.2,26,2880,0,0.0,0,0,0,,10.25,7.7,7.7,90,1,53,200,0,0.02,0.77,6/27/2025 12:40pm
Marc Guehi,CRY,D,72,281.00,8.26,82,checked,121.80,160.00,34,89,100,8.3,8.1,-0.1,8.3,8.7,-0.4,8.6,8.5,,8.6,16.0,0.6,39,3058,0,0.0,0,0,0,,,2.2,6.2,89,1,92,200,0,0.01,0.50,6/27/2025 12:40pm
Emiliano Martinez,AVL,G,73,280.75,7.80,83,checked,300.00,300.00,37,97,100,7.7,7.0,-0.7,8.1,8.1,-0.1,8.7,9.3,,9.0,12.0,3.5,22,3195,0,0.0,0,0,0,,12.25,7.7,7.7,90,1,71,200,0,0.01,0.27,6/27/2025 12:40pm
Kevin De Bruyne,MCI,M,74,280.50,10.39,100,,10.10,10.00,19,50,58,14.2,11.3,-2.9,15.0,15.2,-0.2,9.0,8.2,,9.9,24.1,4.3,36,1683,113,6.0,70,18,0,,,11.6,7.5,82,0,100,21,-12,0.07,1.38,6/27/2025 12:40pm
Dean Henderson,CRY,G,75,280.00,7.57,66,checked,300.00,300.00,38,100,100,7.6,7.0,-0.6,7.6,7.6,0.1,8.0,7.5,,8.0,14.0,1.2,30,3420,0,0.0,0,0,0,,12.00,7.7,7.7,90,1,39,200,0,0.01,0.24,6/27/2025 12:40pm
Tomas Soucek,WHU,M,76,279.25,8.21,85,,128.20,144.00,30,79,83,9.0,5.6,-3.4,10.0,,,6.1,5.9,,7.0,16.1,1.9,35,2558,0,0.0,0,0,0,,4.75,9.1,7.2,82,0,100,114,13,0.02,0.61,6/27/2025 12:40pm
Joao Pedro,BHA,F,77,278.00,10.30,91,,54.20,38.00,23,61,85,11.1,7.0,-4.1,12.9,12.5,0.4,6.7,,,7.5,20.1,2.1,45,1939,10,0.5,7,20,0,,,13.0,7.6,82,0,92,20,21,0.03,0.66,6/27/2025 12:40pm
Bernardo Silva,MCI,M,78,275.00,8.59,97,,42.70,48.50,29,76,76,9.5,8.3,-1.3,9.6,9.8,-0.2,7.6,7.8,,7.7,15.3,3.8,25,2662,20,0.7,8,2,4,,9.00,8.8,6.1,88,1,100,80,-29,0.03,0.74,6/27/2025 12:40pm
Moises Caicedo,CHE,M,79,274.00,7.41,83,checked,136.70,174.00,38,100,100,7.3,5.6,-1.7,7.4,7.2,0.2,6.6,7.3,,6.7,12.4,2.1,16,3351,0,0.0,0,0,0,,3.75,6.6,5.6,87,1,92,200,0,0.00,0.11,6/27/2025 12:40pm
Fabian Schar,NEW,D,80,272.75,8.27,87,checked,86.10,93.50,33,87,97,8.2,7.3,-1.0,8.5,8.6,-0.1,7.8,8.6,,8.1,15.6,0.9,43,2933,5,0.2,2,1,0,,7.50,7.6,5.5,86,1,89,200,0,0.01,0.48,6/27/2025 12:40pm
Lewis Cook,BOU,M,81,272.00,7.56,74,,144.30,143.50,32,84,89,8.4,8.5,0.1,8.2,8.4,-0.2,7.9,3.3,,7.8,13.6,3.2,14,2974,94,2.8,37,16,0,,,,,,,100,51,24,0.01,0.44,6/27/2025 12:40pm
